"sbd","van","ngoaingu","toan","chuyen"
90712,8.5,10,7.25,4.25
90713,7.25,9.5,7.25,4.25
90714,7.75,9.5,7.25,3.25
90715,7.5,9.5,7.25,3.5
90716,8,8.75,8,3
90717,7.25,9.5,5.75,5.5
90718,7.5,8.75,7.5,1.5
90719,8,10,7.25,4
90720,6.5,9.75,7.75,4.25
90721,7.5,9.25,6,4
90722,7.5,9.75,8,5
90723,5.75,8.5,5.5,3.5
90724,6.75,8.75,5.75,4.25
90725,7.5,9.5,8,5
90726,8,9.5,7.5,6.75
90727,7.75,9.75,7,4.5
90728,7.75,8.75,8,3.5
90729,6.5,10,8.5,8.25
90730,7,8.5,7.5,1.75
90731,8.25,9.75,7.25,7.75
90732,7.75,9.25,7.5,2.5
90733,6.75,9.75,8.25,7.75
90734,7.25,7,6.75,2.25
90735,6.75,9,6,3.75
90736,7.25,9.5,7.5,4.75
90737,7.75,9.25,6.75,2.5
90738,7.75,9.5,6.25,4
90739,6.5,9.25,6,3
90740,7.75,9.75,8,6
90741,7.5,9.75,8.25,2.75
90742,8,10,7.25,3.25
90743,7.25,8.75,5,2.75
90744,8,10,7.25,2
90745,7.75,9.5,8.5,6
90746,7.75,9.5,8,5.5
90747,7.5,9.5,7.75,4.5
90748,6.75,9.5,7.25,4.5
90749,7.5,9,7,3
90750,7.75,9.75,7.25,5.75
90751,6.5,10,7.75,5.5
90752,7.5,9.25,7,3.25
90753,7,9.75,8.75,6.25
90754,7.5,9.5,6.5,5
90755,7.5,9.5,5.25,6.25
90756,8,9.25,7.75,2.5
90757,8.25,10,7,5.75
90758,8,9.25,7.25,4.75
90759,7.5,9.5,8.25,4.75
90760,7.75,9.75,6.5,2.5
90761,8,9,4.75,2.5
90762,6.75,10,8.25,5.25
90763,7.5,9.75,6.5,3.75
90764,7.5,8.25,7.25,2.25
90765,6.5,9,7.25,4.5
90766,7.5,9.75,8,6
90767,8.25,9.75,7.75,6.25
90768,7,8.25,7.5,2
90769,8.25,9.25,8,3
90770,8.5,9.25,6.75,4
90771,6.75,9.75,5,5.25
90772,8,9.5,4.5,3.5
90773,7.25,9.5,8,6
90774,7.75,10,6.5,8.25
90775,7.75,9.75,8,5.75
90776,7.25,8.5,5.75,4.25
90777,8,9.5,6.75,5
90778,8,9.5,5.25,4.5
90779,7.5,10,8.25,5.25
90780,8,10,6.75,3.75
90781,7.75,10,7.75,7.75
90782,7.5,9.25,6,4.5
90783,8,9,6.75,3.25
90784,8,9,6.25,3.75
90785,7.25,9.75,7.75,3.5
90786,8,9,7.75,2.25
90787,8,10,7.75,6
90788,7.5,9,4.5,3
90789,8,9,6,3.25
90790,7.25,9.25,6.25,2.5
90791,7.75,10,5.75,6.5
90792,7,9.25,7.75,3
90793,6.75,9.25,5.75,4
90794,7.25,8,5,3
90795,7.5,9.75,7.25,4
90796,9,10,8,5.75
90797,7.5,8,7.25,2.25
90798,7,9.5,5.75,4.75
90799,8.5,8.75,7.25,3.75
90800,7.75,9.5,6.25,3
90801,7.75,8,7,2.75
90802,8.5,9.5,7,2.25
90803,6.25,8.75,5.5,2
90804,7.75,9.75,8,2.75
90805,8.5,9.25,7.75,2
90806,8,9.25,4.75,4.25
90807,8.25,10,6.75,8
90808,8,9.5,8.25,3.5
90809,7.25,9.25,5.25,3.25
90810,8.25,9.25,8.25,6
90811,8,8.5,7.5,3
90812,7.75,10,7.25,4.25
90813,7.75,7.5,4.75,1.75
90814,8.25,9.75,6.75,2.75
90815,8.75,9.75,7.25,4.25
90816,8,8.75,8,2
90817,8,10,8,5.5
90818,7.75,9.5,8,6.75
90819,8.25,10,7.5,4.5
90820,8.5,9.5,7.75,2.75
90821,8,9.75,6.75,5.5
90822,8.25,8.75,6.25,2.25
90823,8.5,10,7.5,5.75
90824,7.75,8.75,7,3.25
90825,8.25,9,7,2.75
90826,8.25,10,6.25,3
90827,8,9.5,7.75,2.25
90828,7.75,10,6.5,6
90829,7.75,7.75,6.75,2
90830,8.25,9,6.5,3.5
90831,7.25,9.75,3.75,6
90832,6.5,7,4.75,1.75
90833,7,9.5,5.75,4.25
90834,7.5,9.5,7.5,5.25
90835,7.5,8.75,6,2.75
90836,7.25,9.25,7.25,3
90837,7.5,9.25,7.5,4.25
