site,parameter,date,year,month,day,hour,aqi,unit,duration,qc_name,aqi_categ
Hanoi,PM2.5 - Principal,2015-01-07T13:00:00Z,2015,01,07,13,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T14:00:00Z,2015,01,07,14,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T15:00:00Z,2015,01,07,15,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T16:00:00Z,2015,01,07,16,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T17:00:00Z,2015,01,07,17,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T18:00:00Z,2015,01,07,18,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T19:00:00Z,2015,01,07,19,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T20:00:00Z,2015,01,07,20,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T21:00:00Z,2015,01,07,21,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T22:00:00Z,2015,01,07,22,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-07T23:00:00Z,2015,01,07,23,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T00:00:00Z,2015,01,08,00,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T01:00:00Z,2015,01,08,01,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T02:00:00Z,2015,01,08,02,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T03:00:00Z,2015,01,08,03,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T04:00:00Z,2015,01,08,04,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T05:00:00Z,2015,01,08,05,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T06:00:00Z,2015,01,08,06,NA,UG/M3,1 Hr,Missing,NA
Hanoi,PM2.5 - Principal,2015-01-08T07:00:00Z,2015,01,08,07,NA,UG/M3,1 Hr,Missing,NA
