"province","year","fire_damage"
"Hậu Giang",2007,0
"Sóc Trăng",2007,0
"Bạc Liêu",2007,0
"Cà Mau",2007,80
"Hà Nội",2008,0
"Hà Tây",2008,0
"Vĩnh Phúc",2008,2.9
"Bắc Ninh",2008,1.7
"Quảng Ninh",2008,96.1
"Hải Dương",2008,0.2
"Hải Phòng",2008,4.7
"Hà Nam",2008,0
"Ninh Bình",2008,0
"Hà Giang",2008,16.6
"Cao Bằng",2008,35
"Bắc Kạn",2008,4
"Tuyên Quang",2008,32.2
"Lào Cai",2008,2.6
"Yên Bái",2008,26.7
"Thái Nguyên",2008,11.8
"Lạng Sơn",2008,208.7
"Bắc Giang",2008,16.6
"Phú Thọ",2008,0
"Điện Biên",2008,0
"Lai Châu",2008,34.7
"Sơn La",2008,2
"Hoà Bình",2008,0
"Thanh Hoá",2008,13.6
"Nghệ An",2008,9.7
"Hà Tĩnh",2008,109.6
"Quảng Bình",2008,13
"Quảng Trị",2008,152.3
"Thừa Thiên - Huế",2008,55.5
"Đà Nẵng",2008,0
"Quảng Nam",2008,0
"Quảng Ngãi",2008,15.7
"Bình Định",2008,68
"Phú Yên",2008,147.1
"Khánh Hoà",2008,2.5
"Ninh Thuận",2008,23.1
"Bình Thuận",2008,0
"Kon Tum",2008,28.3
"Gia Lai",2008,62.9
"Đắk Lắk",2008,21.1
"Đắk Nông",2008,0
"Lâm Đồng",2008,1
"Bình Phước",2008,11.2
"Tây Ninh",2008,15.2
"Bình Dương",2008,0.5
"Đồng Nai",2008,0
"Bà Rịa - Vũng Tàu",2008,6
"TP.Hồ Chí Minh",2008,0
"Long An",2008,27.5
"Tiền Giang",2008,0
"Bến Tre",2008,0
"Đồng Tháp",2008,0
"An Giang",2008,179.8
"Kiên Giang",2008,87
"Cần Thơ",2008,0
"Hậu Giang",2008,0
"Sóc Trăng",2008,0
"Bạc Liêu",2008,0
"Cà Mau",2008,2.6
"Hà Nội",2009,17.4
"Hà Tây",2009,0
"Vĩnh Phúc",2009,21.4
"Bắc Ninh",2009,0.6
"Quảng Ninh",2009,149.9
"Hải Dương",2009,22.4
"Hải Phòng",2009,4.9
"Hà Nam",2009,0
"Ninh Bình",2009,0
"Hà Giang",2009,381
"Cao Bằng",2009,95.7
"Bắc Kạn",2009,16
"Tuyên Quang",2009,5
"Lào Cai",2009,27
"Yên Bái",2009,201.4
"Thái Nguyên",2009,15
"Lạng Sơn",2009,144.8
"Bắc Giang",2009,23.9
"Phú Thọ",2009,0
"Điện Biên",2009,34.6
"Lai Châu",2009,71.7
"Sơn La",2009,103
"Hoà Bình",2009,5.2
"Thanh Hoá",2009,1.2
"Nghệ An",2009,3.6
"Hà Tĩnh",2009,46.3
"Quảng Bình",2009,8.7
"Quảng Trị",2009,50.5
"Thừa Thiên - Huế",2009,20.9
"Đà Nẵng",2009,1.5
"Quảng Nam",2009,3
"Quảng Ngãi",2009,16.9
"Bình Định",2009,21
"Phú Yên",2009,14.3
"Khánh Hoà",2009,0
"Ninh Thuận",2009,34.1
"Bình Thuận",2009,0
"Kon Tum",2009,9.9
"Gia Lai",2009,0
"Đắk Lắk",2009,0
"Đắk Nông",2009,9.2
"Lâm Đồng",2009,6.3
"Bình Phước",2009,4
"Tây Ninh",2009,0.1
"Bình Dương",2009,0
"Đồng Nai",2009,0
"Bà Rịa - Vũng Tàu",2009,2.1
"TP.Hồ Chí Minh",2009,0
"Long An",2009,62.3
"Tiền Giang",2009,0
"Bến Tre",2009,0
"Đồng Tháp",2009,0
"An Giang",2009,0
"Kiên Giang",2009,0
"Cần Thơ",2009,0
"Hậu Giang",2009,0
"Sóc Trăng",2009,0
"Bạc Liêu",2009,0
"Cà Mau",2009,1.2
"Hà Nội",2010,1.6
"Hà Tây",2010,0
"Vĩnh Phúc",2010,20.1
"Bắc Ninh",2010,0
"Quảng Ninh",2010,7.1
"Hải Dương",2010,0
"Hải Phòng",2010,0
"Hà Nam",2010,0
"Ninh Bình",2010,0
"Hà Giang",2010,309.6
"Cao Bằng",2010,339
"Bắc Kạn",2010,27.8
"Tuyên Quang",2010,38.3
"Lào Cai",2010,735.8
"Yên Bái",2010,492.2
"Thái Nguyên",2010,13.5
"Lạng Sơn",2010,10.8
"Bắc Giang",2010,22.9
"Phú Thọ",2010,19.2
"Điện Biên",2010,29.6
"Lai Châu",2010,346.3
"Sơn La",2010,0
"Hoà Bình",2010,33.4
"Thanh Hoá",2010,56.7
"Nghệ An",2010,236.3
"Hà Tĩnh",2010,199
"Quảng Bình",2010,75.2
"Quảng Trị",2010,179
"Thừa Thiên - Huế",2010,4.9
"Đà Nẵng",2010,80
"Quảng Nam",2010,39.5
"Quảng Ngãi",2010,24
"Bình Định",2010,35.3
"Phú Yên",2010,215.7
"Khánh Hoà",2010,29.6
"Ninh Thuận",2010,0
"Bình Thuận",2010,0
"Kon Tum",2010,171
"Gia Lai",2010,65.4
"Đắk Lắk",2010,0
"Đắk Nông",2010,0
