Cayenne GTS,Porsche,SUV,Nhập khẩu,6.607,6.474,3.6 V6,440,600
Cayenne Turbo,Porsche,SUV,Nhập khẩu,9.17,8.986,4.8 V8,520,750
Cayenne Turbo S,Porsche,SUV,Nhập khẩu,11.623,11.39,5.0 V8,570,800
Panamera,Porsche,Coupe 4 cửa,Nhập khẩu,4.779,4.683,3.6 V6,330,450
Panamera 4,Porsche,Coupe 4 cửa,Nhập khẩu,5.186,5.082,3.6 V6,330,450
Panamera 4 Excutive,Porsche,Coupe,Nhập khẩu,5.659,5.545,3.0 V6,330,450
Panamera 4S,Porsche,Coupe 4 cửa,Nhập khẩu,6.792,6.656,3.0 V6,440,550
Panamera 4S Executive,Porsche,Coupe 4 cửa,Nhập khẩu,7.936,7.777,3.0 V6,440,550
Panamera Turbo,Porsche,Coupe 4 cửa,Nhập khẩu,10.664,10.45,4.8 V8,550,770
Panamera Turbo Executive,Porsche,Coupe 4 cửa,Nhập khẩu,11.566,11.334,4.8 V8,550,770
Panamera Turbo S,Porsche,Coupe 4 cửa,Nhập khẩu,14.35,14.063,4.8 V8,570,750
Panamera Turbo S Executive,Porsche,Coupe 4 cửa,Nhập khẩu,15.65,15.337,4.8 V8,570,750
911 Carrera,Porsche,Coupe,Nhập khẩu,6.1,5.978,3.0 Flat 6,370,450
911 Carrera S,Porsche,Coupe,Nhập khẩu,6.93,6.791,3.0 Flat 6,420,500
911 Carrera Cabriolet,Porsche,Roadster,Nhập khẩu,6.86,6.722,3.0 Flat 6,370,450
911 Carrera Cabriolet S,Porsche,Roadster,Nhập khẩu,7.7,7.546,3.0 Flat 6,420,500
911 Carrera 4,Porsche,Coupe,Nhập khẩu,6.53,6.399,3.0 Flat 6,370,450
911 Carrera 4S,Porsche,Coupe,Nhập khẩu,7.36,7.212,3.0 Flat 6,420,500
911 Carrera 4 Cabriolet,Porsche,Roadster,Nhập khẩu,7.3,7.154,3.0 Flat 6,370,450
911 Carrera 4S Cabriolet,Porsche,Roadster,Nhập khẩu,8.13,7.967,3.0 Flat 6,420,500
911 Targa 4,Porsche,Roadster,Nhập khẩu,7.89,7.732,3.4 Flat 6,370,450
911 Targa 4S,Porsche,Roadster,Nhập khẩu,8.79,8.614,3.8 Flat 6,420,500
911 Turbo,Porsche,Coupe,Nhập khẩu,11.81,11.573,3.8 Flat 6,540,660
911 Turbo Cabriolet,Porsche,Roadster,Nhập khẩu,12.68,12.426,3.8 Flat 6,540,660
911 Turbo S,Porsche,Coupe,Nhập khẩu,13.68,13.406,3.8 Flat 6,580,700
911 Turbo S Cabriolet,Porsche,Roadster,Nhập khẩu,14.54,14.249,3.8 Flat 6,580,700
911 GT3,Porsche,Coupe,Nhập khẩu,9.93,9.731,3.8 Flat 6,475,440
GT3 RS,Porsche,Coupe,Nhập khẩu,13.12,12.857,4.0 Flat 6,500,460
718 Boxster,Porsche,Roadster,Nhập khẩu,3.57,3.498,2.0 Flat 4,300,380
718 Boxster S,Porsche,Roadster,Nhập khẩu,4.44,4.351,2.5 Flat 4,350,420
Cayman,Porsche,Coupe,Nhập khẩu,3.45,3.381,2.7 Flat 6,275,290
Cayman S,Porsche,Coupe,Nhập khẩu,4.32,4.233,3.4 Flat 6,325,370
116i,BMW,Hatchback,Nhập khẩu,1.248,1.223,2.0 I4,136,220
218i,BMW,Hatchback,Nhập khẩu,1.368,1.34,2.0 I4,136,220
320i,BMW,Sedan,Nhập khẩu,1.399,1.368,2.0 I4,184,290
